Order ID,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
WOWID0021,First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.724
WOWID0022,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549
WOWID0023,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,0.2,22.6184
WOWID0024,Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973
WOWID0025,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396
WOWID0026,Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992
WOWID0027,Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,0,165.3813
WOWID0028,Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.682
WOWID0029,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,3,0,1.7901
WOWID0030,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.688
WOWID0031,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,3,0.2,2.7324
WOWID0032,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.952,8,0.4,-1359.992
WOWID0033,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347
WOWID0034,Standard Class,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.858
WOWID0035,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,6,0.2,6.8136
WOWID0036,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849
WOWID0037,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,3,0.2,8.9985
WOWID0038,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12
WOWID0039,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,4,0.2,6.552
WOWID0040,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224,3,0.2,3.7224
WOWID0041,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,3,0.2,6.255
WOWID0042,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,2,0.7,-2.2586
WOWID0043,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.056,3,0.2,5.8203
WOWID0044,Standard Class,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,12.132,9,0.6,-8.4924
WOWID0045,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,82.368,2,0.2,-19.5624
WOWID0046,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,53.92,5,0.2,4.044
WOWID0047,Standard Class,Corporate,Chicago,Illinois,Central,Technology,Phones,647.904,6,0.2,56.6916
WOWID0048,Standard Class,Corporate,Pasadena,Texas,Central,Office Supplies,Appliances,1.624,2,0.8,-4.466
WOWID0049,Standard Class,Consumer,Chicago,Illinois,Central,Technology,Phones,328.224,4,0.2,28.7196
WOWID0050,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,11.648,2,0.2,4.0768
WOWID0051,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,18.176,4,0.2,5.9072
WOWID0052,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Storage,59.712,6,0.2,5.9712
WOWID0053,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Labels,24.84,3,0.2,8.694
WOWID0054,Standard Class,Consumer,Chicago,Illinois,Central,Furniture,Tables,219.075,3,0.5,-131.445
WOWID0055,First Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Art,99.136,4,0.2,8.6744
WOWID0056,First Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,290.898,3,0.4,-67.8762
WOWID0057,First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Storage,54.224,2,0.2,3.389
WOWID0058,First Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,786.744,4,0.3,-258.5016
WOWID0059,First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Labels,100.24,10,0.2,33.831
WOWID0060,First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,37.764,6,0.7,-27.6936
WOWID0061,Standard Class,Consumer,Austin,Texas,Central,Office Supplies,Storage,88.8,4,0.2,-2.22
WOWID0062,Standard Class,Consumer,Harlingen,Texas,Central,Office Supplies,Paper,25.92,5,0.2,9.396
WOWID0063,Standard Class,Consumer,Harlingen,Texas,Central,Office Supplies,Storage,53.424,3,0.2,4.6746
WOWID0064,First Class,Corporate,Quincy,Illinois,Central,Office Supplies,Paper,99.136,4,0.2,30.98
WOWID0065,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,8.652,3,0.8,-20.3322
WOWID0066,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Storage,23.832,3,0.2,2.6811
WOWID0067,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,12.176,4,0.8,-18.8728
WOWID0068,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Machines,482.34,4,0.7,-337.638
WOWID0069,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,2.96,1,0.2,0.777
WOWID0070,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Paper,139.86,7,0,65.7342
WOWID0071,Standard Class,Corporate,Seattle,Washington,West,Furniture,Chairs,307.136,4,0.2,26.8744
WOWID0072,Standard Class,Corporate,San Antonio,Texas,Central,Office Supplies,Art,6.672,6,0.2,0.5004
WOWID0073,Standard Class,Corporate,Houston,Texas,Central,Office Supplies,Paper,31.872,8,0.2,11.5536
WOWID0074,Standard Class,Consumer,Decatur,Illinois,Central,Furniture,Chairs,747.558,3,0.3,-96.1146
WOWID0075,Standard Class,Consumer,Decatur,Illinois,Central,Office Supplies,Envelopes,8.928,2,0.2,3.348
WOWID0076,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Appliances,103.92,4,0,36.372
WOWID0077,Standard Class,Consumer,Seattle,Washington,West,Technology,Accessories,899.91,9,0,377.9622
WOWID0078,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,51.312,3,0.2,18.6006
WOWID0079,Standard Class,Home Office,Park Ridge,Illinois,Central,Furniture,Furnishings,254.744,7,0.6,-312.0614
WOWID0080,Standard Class,Corporate,Amarillo,Texas,Central,Furniture,Bookcases,205.3328,2,0.32,-36.2352
WOWID0081,First Class,Consumer,Chicago,Illinois,Central,Technology,Phones,2735.952,6,0.2,341.994
WOWID0082,Standard Class,Consumer,Seattle,Washington,West,Technology,Accessories,93.98,2,0,13.1572
WOWID0083,Standard Class,Consumer,Houston,Texas,Central,Technology,Accessories,18.392,1,0.2,5.2877
WOWID0084,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Storage,129.568,2,0.2,-25.9136
WOWID0085,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,14.112,9,0.8,-21.168
WOWID0086,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Storage,36.336,3,0.2,-7.2672
WOWID0087,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Supplies,666.248,1,0.2,-149.9058
WOWID0088,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,52.512,6,0.2,19.692
WOWID0089,Standard Class,Consumer,Fort Worth,Texas,Central,Technology,Accessories,58.112,2,0.2,7.264
WOWID0090,Standard Class,Consumer,Fort Worth,Texas,Central,Technology,Phones,100.792,1,0.2,6.2995
WOWID0091,Standard Class,Consumer,Fort Worth,Texas,Central,Furniture,Furnishings,66.112,4,0.6,-84.2928
WOWID0092,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Fasteners,10.824,3,0.2,2.5707
WOWID0093,First Class,Consumer,Seattle,Washington,West,Office Supplies,Fasteners,3.96,2,0,0
WOWID0094,First Class,Consumer,Seattle,Washington,West,Office Supplies,Labels,2.61,1,0,1.2006
WOWID0095,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Paper,91.84,8,0,45.0016
WOWID0096,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,81.088,7,0.2,27.3672
WOWID0097,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Paper,19.44,3,0,9.3312
WOWID0098,Standard Class,Corporate,Seattle,Washington,West,Furniture,Chairs,451.152,3,0.2,0
WOWID0099,Standard Class,Consumer,Marysville,Washington,West,Office Supplies,Art,8.82,3,0,2.3814
WOWID0100,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Storage,69.712,2,0.2,8.714
WOWID0101,Standard Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,8.792,1,0.6,-5.7148
WOWID0102,Standard Class,Consumer,Laredo,Texas,Central,Office Supplies,Art,9.344,2,0.2,1.168
WOWID0103,Standard Class,Consumer,Laredo,Texas,Central,Technology,Accessories,31.2,3,0.2,9.75
WOWID0104,First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Supplies,11.632,2,0.2,1.0178
WOWID0105,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,143.982,3,0.4,-28.7964
WOWID0106,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,494.376,4,0.4,-115.3544
WOWID0107,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Supplies,5.84,2,0.2,0.73
WOWID0108,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,3.282,2,0.7,-2.6256
WOWID0109,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,21.168,9,0.2,2.3814
WOWID0110,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,55.188,2,0.4,-10.1178
WOWID0111,First Class,Corporate,Dallas,Texas,Central,Technology,Phones,369.576,3,0.2,41.5773
WOWID0112,First Class,Corporate,Dallas,Texas,Central,Office Supplies,Labels,15.712,4,0.2,5.6956
WOWID0113,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Binders,8.69,5,0.8,-14.773
WOWID0114,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Appliances,97.16,2,0,28.1764
WOWID0115,Standard Class,Consumer,Arlington,Texas,Central,Office Supplies,Storage,999.432,7,0.2,124.929
WOWID0116,Standard Class,Consumer,Arlington,Texas,Central,Office Supplies,Storage,724.08,14,0.2,-135.765
WOWID0117,Standard Class,Consumer,Arlington,Texas,Central,Furniture,Tables,918.785,5,0.3,-118.1295
WOWID0118,Standard Class,Consumer,Arlington,Texas,Central,Office Supplies,Binders,2.724,3,0.8,-4.2222
WOWID0119,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Furnishings,23.976,3,0.6,-14.3856
WOWID0120,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Tables,108.925,1,0.5,-71.8905
WOWID0121,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,36.352,8,0.2,11.36
WOWID0122,Standard Class,Consumer,Quincy,Illinois,Central,Office Supplies,Art,19.56,5,0.2,1.7115
WOWID0123,Standard Class,Consumer,Tyler,Texas,Central,Office Supplies,Appliances,2.688,3,0.8,-7.392
WOWID0124,Standard Class,Consumer,Tyler,Texas,Central,Technology,Accessories,27.816,3,0.2,4.5201
WOWID0125,Standard Class,Consumer,Tyler,Texas,Central,Furniture,Furnishings,82.524,3,0.6,-41.262
WOWID0126,Standard Class,Consumer,Tyler,Texas,Central,Office Supplies,Binders,182.994,3,0.8,-320.2395
WOWID0127,First Class,Home Office,Chester,Pennsylvania,East,Office Supplies,Art,198.272,8,0.2,17.3488
WOWID0128,First Class,Home Office,Chester,Pennsylvania,East,Office Supplies,Labels,47.36,4,0.2,17.76
WOWID0129,First Class,Home Office,Chester,Pennsylvania,East,Office Supplies,Envelopes,200.984,7,0.2,62.8075
WOWID0130,First Class,Home Office,Chester,Pennsylvania,East,Office Supplies,Labels,97.696,4,0.2,31.7512
WOWID0131,First Class,Home Office,Chester,Pennsylvania,East,Office Supplies,Art,2.696,1,0.2,0.8088
WOWID0132,First Class,Home Office,Chester,Pennsylvania,East,Office Supplies,Binders,18.588,2,0.7,-13.6312
WOWID0133,First Class,Home Office,Chester,Pennsylvania,East,Office Supplies,Binders,4.896,3,0.7,-3.4272
WOWID0134,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,129.92,5,0.2,21.112
WOWID0135,Standard Class,Consumer,Austin,Texas,Central,Office Supplies,Envelopes,17.568,2,0.2,6.3684
WOWID0136,Standard Class,Consumer,Austin,Texas,Central,Technology,Phones,55.992,1,0.2,5.5992
WOWID0137,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Storage,242.94,3,0,9.7176
WOWID0138,Standard Class,Home Office,Seattle,Washington,West,Technology,Accessories,179.97,3,0,86.3856
WOWID0139,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Binders,99.696,6,0.2,33.6474
WOWID0140,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Binders,27.936,4,0.2,9.4284
WOWID0141,Standard Class,Home Office,Seattle,Washington,West,Furniture,Bookcases,84.98,1,0,18.6956
WOWID0142,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Binders,18.72,5,0.2,6.552
WOWID0143,Standard Class,Home Office,Naperville,Illinois,Central,Office Supplies,Labels,11.784,3,0.2,4.2717
WOWID0144,Standard Class,Home Office,Naperville,Illinois,Central,Office Supplies,Storage,272.736,3,0.2,-64.7748
WOWID0145,Standard Class,Home Office,Naperville,Illinois,Central,Office Supplies,Binders,3.54,2,0.8,-5.487
WOWID0146,Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Supplies,51.52,5,0.2,-10.948
WOWID0147,Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Paper,3.528,1,0.2,1.1466
WOWID0148,Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Paper,4.624,1,0.2,1.6762
WOWID0149,Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Supplies,55.168,4,0.2,6.2064
WOWID0150,First Class,Consumer,Edmonds,Washington,West,Office Supplies,Art,11.52,4,0,3.2256
WOWID0151,First Class,Consumer,Edmonds,Washington,West,Furniture,Tables,1298.55,5,0,311.652
WOWID0152,First Class,Consumer,Edmonds,Washington,West,Office Supplies,Appliances,213.92,4,0,62.0368
WOWID0153,First Class,Consumer,Edmonds,Washington,West,Technology,Accessories,25.78,2,0,2.578
WOWID0154,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,5.344,1,0.2,1.8704
WOWID0155,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,41.472,8,0.2,14.5152
WOWID0156,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,3.168,3,0.7,-2.4288
WOWID0157,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,1228.465,5,0.3,0
WOWID0158,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,31.086,3,0.7,-22.7964
WOWID0159,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,335.52,4,0.2,117.432
WOWID0160,Standard Class,Corporate,Fort Worth,Texas,Central,Technology,Phones,21.072,3,0.2,1.5804
WOWID0161,First Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Labels,15.936,4,0.2,5.1792
WOWID0162,Standard Class,Corporate,Lancaster,Pennsylvania,East,Office Supplies,Binders,44.91,6,0.7,-35.928
WOWID0163,First Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Binders,1141.47,5,0.7,-760.98
WOWID0164,First Class,Home Office,Philadelphia,Pennsylvania,East,Technology,Phones,280.782,3,0.4,-46.797
WOWID0165,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Binders,5.892,4,0.7,-4.1244
WOWID0166,First Class,Consumer,Garland,Texas,Central,Office Supplies,Labels,10.44,5,0.2,3.393
WOWID0167,First Class,Consumer,Garland,Texas,Central,Office Supplies,Binders,18.336,4,0.8,-32.088
WOWID0168,First Class,Consumer,Chicago,Illinois,Central,Technology,Phones,323.976,3,0.2,20.2485
WOWID0169,Standard Class,Corporate,San Antonio,Texas,Central,Furniture,Tables,99.918,2,0.3,-18.5562
WOWID0170,Standard Class,Corporate,San Antonio,Texas,Central,Furniture,Chairs,797.944,4,0.3,-56.996
WOWID0171,Standard Class,Corporate,San Antonio,Texas,Central,Office Supplies,Binders,8.568,3,0.8,-14.5656
WOWID0172,Standard Class,Corporate,Dallas,Texas,Central,Office Supplies,Envelopes,149.352,3,0.2,50.4063
WOWID0173,Standard Class,Corporate,Dallas,Texas,Central,Office Supplies,Storage,12.992,1,0.2,-0.812
WOWID0174,First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,15.552,3,0.2,5.4432
WOWID0175,First Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,252,5,0.2,53.55
WOWID0176,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,12.192,3,0.2,4.1148
WOWID0177,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,45.056,8,0.2,15.2064
WOWID0178,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Binders,29.718,6,0.7,-21.7932
WOWID0179,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,15.552,3,0.2,5.4432
WOWID0180,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Appliances,447.696,2,0.2,33.5772
WOWID0181,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Paper,32.4,5,0,15.552
WOWID0182,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Storage,540.57,3,0,140.5482
WOWID0183,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,167.76,5,0.2,62.91
WOWID0184,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,516.488,7,0.2,-12.9122
WOWID0185,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,1007.232,6,0.2,75.5424
WOWID0186,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Tables,2065.32,12,0.4,-619.596
WOWID0187,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,15.552,3,0.2,5.4432
WOWID0188,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,25.344,6,0.2,7.92
WOWID0189,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,25.472,4,0.2,7.6416
WOWID0190,Standard Class,Consumer,Round Rock,Texas,Central,Office Supplies,Art,27.168,2,0.2,2.7168
WOWID0191,Standard Class,Consumer,Round Rock,Texas,Central,Furniture,Bookcases,78.8528,2,0.32,-11.596
WOWID0192,Standard Class,Home Office,Pasadena,Texas,Central,Office Supplies,Labels,7.968,2,0.2,2.5896
WOWID0193,Standard Class,Home Office,Pasadena,Texas,Central,Office Supplies,Envelopes,27.968,4,0.2,9.4392
WOWID0194,Standard Class,Home Office,Pasadena,Texas,Central,Technology,Machines,336.51,3,0.4,44.868
WOWID0195,Standard Class,Home Office,Vancouver,Washington,West,Office Supplies,Art,44.02,2,0,11.4452
WOWID0196,First Class,Consumer,Chicago,Illinois,Central,Technology,Phones,95.984,2,0.2,5.999
WOWID0197,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,6.208,2,0.2,2.1728
WOWID0198,First Class,Corporate,Chicago,Illinois,Central,Office Supplies,Art,8.84,5,0.2,2.9835
WOWID0199,First Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,58.464,9,0.8,-146.16
WOWID0200,Standard Class,Home Office,Rockford,Illinois,Central,Furniture,Chairs,254.604,14,0.3,-18.186
WOWID0201,First Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,168.464,2,0.2,-29.4812
WOWID0202,First Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,6.72,2,0.2,2.436
WOWID0203,First Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,282.888,9,0.2,56.5776
WOWID0204,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,4.416,3,0.2,1.6008
WOWID0205,Standard Class,Consumer,Houston,Texas,Central,Furniture,Chairs,107.772,2,0.3,-29.2524
WOWID0206,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Binders,25.176,4,0.7,-18.4624
WOWID0207,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,2.694,3,0.8,-4.7145
WOWID0208,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,2.934,3,0.8,-4.9878
WOWID0209,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Storage,100.704,6,0.2,-16.3644
WOWID0210,Standard Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,2.328,2,0.6,-0.7566
WOWID0211,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,10.78,5,0.8,-17.248
WOWID0212,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Fasteners,58.368,12,0.2,21.888
WOWID0213,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Envelopes,40.968,3,0.2,13.8267
WOWID0214,Standard Class,Consumer,Houston,Texas,Central,Technology,Phones,71.96,5,0.2,25.186
WOWID0215,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
WOWID0216,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,1.192,2,0.8,-2.0264
WOWID0217,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Storage,124.608,4,0.2,-23.364
WOWID0218,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Labels,7.56,3,0.2,2.646
WOWID0219,Standard Class,Consumer,Bloomington,Illinois,Central,Office Supplies,Binders,5.176,4,0.8,-7.764
WOWID0220,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,12.096,7,0.2,4.2336
WOWID0221,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Storage,485.88,6,0,9.7176
WOWID0222,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Paper,25.92,4,0,12.4416
WOWID0223,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Storage,197.58,2,0,53.3466
WOWID0224,Standard Class,Consumer,Houston,Texas,Central,Technology,Accessories,431.928,9,0.2,64.7892
WOWID0225,Standard Class,Consumer,Houston,Texas,Central,Furniture,Chairs,95.984,4,0.3,-4.1136
WOWID0226,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,1088.792,4,0.8,-1850.9464
WOWID0227,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Chairs,141.372,2,0.3,-48.4704
WOWID0228,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,3.036,2,0.7,-2.3276
WOWID0229,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,4.503,1,0.7,-3.6024
WOWID0230,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Art,4.672,1,0.2,1.5768
WOWID0231,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Accessories,95.88,3,0.2,28.764
WOWID0232,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,17.024,2,0.2,1.7024
WOWID0233,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Accessories,258.696,3,0.2,64.674
WOWID0234,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Phones,1931.958,7,0.4,-386.3916
WOWID0235,Standard Class,Consumer,Seattle,Washington,West,Furniture,Furnishings,12.35,1,0,5.434
WOWID0236,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Art,40.97,1,0,10.6522
WOWID0237,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Fasteners,22.96,2,0,10.7912
WOWID0238,Standard Class,Home Office,Chester,Pennsylvania,East,Office Supplies,Art,5.248,2,0.2,0.5904
WOWID0239,Standard Class,Home Office,Chester,Pennsylvania,East,Technology,Phones,35.91,3,0.4,-8.379
WOWID0240,Standard Class,Home Office,Chester,Pennsylvania,East,Furniture,Furnishings,6.696,1,0.2,0.5022
WOWID0241,Standard Class,Home Office,Chester,Pennsylvania,East,Furniture,Furnishings,43.872,2,0.2,11.5164
WOWID0242,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,102.336,4,0.2,-12.792
WOWID0243,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,48.792,3,0.8,-126.8592
WOWID0244,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Binders,44.848,8,0.8,-67.272
WOWID0245,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Art,86.352,3,0.2,5.397
